signature,pval_KM,HZ_KM,n_low,n_high,HZ_strataLow,HZ_ChemotherapyYES,HZ_`Pam50 + Claudin-low subtype`claudin-low,HZ_`Pam50 + Claudin-low subtype`Her2,HZ_`Pam50 + Claudin-low subtype`LumA,HZ_`Pam50 + Claudin-low subtype`LumB,HZ_`Pam50 + Claudin-low subtype`NC,HZ_`Pam50 + Claudin-low subtype`Normal,pval_strataLow,pval_ChemotherapyYES,pval_`Pam50 + Claudin-low subtype`claudin-low,pval_`Pam50 + Claudin-low subtype`Her2,pval_`Pam50 + Claudin-low subtype`LumA,pval_`Pam50 + Claudin-low subtype`LumB,pval_`Pam50 + Claudin-low subtype`NC,pval_`Pam50 + Claudin-low subtype`Normal
MDA_Met-Like_parental_vs_rest_DOWN_FC_2,0.0784684950227675,3300349.95060892,10,1970,944046.458248167,2.1091326022778,0.586606224994128,1.20583445057702,0.415074566719909,1.00115439441273,1.09046488007441,0.667609270743305,0.983931448908261,2.27062026924425e-13,0.00346454314287995,0.219274819297678,3.31212656270866e-08,0.993755200025698,0.904152895783344,0.0447630293257045
HCC_1_vs_p-L_DOWN_FC_1,0.00313327991423026,10.6510784632824,35,1945,11.1619900444725,2.14365895991778,0.597951972549775,1.18529442659757,0.409320621164552,0.985327260225453,1.07737097783338,0.729311895294815,0.0162052601802429,5.91669435047382e-14,0.00479890980615668,0.264195096387725,1.84371653854712e-08,0.919906696752297,0.917459729056069,0.117264180884472
HCC_LM-H_vs_LM-L_DOWN_FC_0,0.00249529226924743,2.98981234053097,70,1910,3.27246477647322,2.17621009206681,0.593522933263066,1.18170259311625,0.412487299404524,1.00268025693574,1.07571186595684,0.717633462190281,0.00194114733893276,2.5633289850068e-14,0.00423796903074943,0.27324561379611,2.61401420105195e-08,0.98552998840981,0.919174509748636,0.100503802397101
HCC_0_vs_p-L_DOWN_FC_2,0.0110134947015358,2.54276635393925,65,1915,2.39820757980324,2.13014660893567,0.612162269180869,1.20495938008407,0.416301817897056,1.00099843500825,1.09330045669549,0.757447964417622,0.0252571089125081,1.07167716904075e-13,0.00734370534586093,0.221002756514265,3.61039765383938e-08,0.994595731690358,0.901291740893204,0.174783158409305
HCC_5_vs_p-L_DOWN_FC_2,0.0457822339630704,2.38702955106061,1970,10,2.33594727477834,2.13871836273454,0.581447923234107,1.2155709217764,0.419283600868896,1.01253768964914,1.11415491642608,0.678657385371771,0.0595098110340807,8.35447429042532e-14,0.00297382177628084,0.200117445221692,4.82310977463167e-08,0.932639842638568,0.88053660503843,0.0542783960192293
HCC_7_vs_p-L_DOWN_FC_1,0.0603613581899383,2.27289919153432,1970,10,2.03971483796123,2.12936510596524,0.578115875972139,1.22824608897102,0.421638894500685,1.01637479834089,1.1160503169454,0.680913434370812,0.115015713153881,1.14545882123061e-13,0.00270132266398088,0.17832103587791,6.32972382932238e-08,0.912397541768377,0.87868327359855,0.0566518623008615
HCC_0_vs_p-L_DOWN_FC_1,0.00181975116767172,2.21645789656737,120,1860,2.20840478113154,2.16504499776145,0.602303558521338,1.17547177706806,0.414298426267607,0.97852510570538,1.06863924926102,0.764446529262317,0.00327099351110133,3.13780415087679e-14,0.00546524793550706,0.288702787414126,2.87953802817737e-08,0.882755462038779,0.926449288617859,0.187770010024583
HCC_LM-H_vs_p-L_DOWN_FC_1,5.30790662938112e-06,2.13507591842379,265,1715,1.86349146002425,2.19608299246613,0.619044363859859,1.23193006474146,0.4514363347987,1.01036328295268,1.094477501992,0.832163451303839,0.000492601389720691,1.32912477178426e-14,0.00870991316878849,0.171332256784952,6.90931338413971e-07,0.944254200073182,0.90011064647154,0.376503027516794
HCC_6_vs_p-L_DOWN_FC_2,4.96482538377358e-06,2.01047470214292,1872,108,1.51205710677648,2.12603720658666,0.638095121438711,1.41684195002454,0.485620912041389,1.17186842590765,1.28617254877955,0.784800788480915,0.0257125087483771,1.11116034371003e-13,0.0170058536297038,0.0419947317192019,4.47262778903445e-05,0.337375600090672,0.727905002554468,0.261577333961472
HCC_5_vs_p-L_DOWN_FC_1,0.0497461995878111,1.98512244405545,57,1923,2.32771614767558,2.15951592284125,0.591361818778652,1.20567247409234,0.412024740136558,0.991480923074279,1.08573898174838,0.735753292927036,0.019806790510998,3.58234059327025e-14,0.00400072626055932,0.219470054399616,2.42043824031287e-08,0.953653608956604,0.908933302609162,0.130995567802191
HCC_2_vs_p-L_DOWN_FC_1,9.76045008422538e-05,1.92171927726648,242,1738,1.64736736231133,2.16185271938764,0.613544071780003,1.20436847709991,0.435210291953131,0.997031017793392,1.08289737174656,0.796009135637461,0.00557405493279239,3.81981963371293e-14,0.00761715667581011,0.222342158486824,1.87015579908156e-07,0.983903035537905,0.911827253950196,0.273128425085504
HCC_8_vs_p-L_DOWN_FC_2,6.27485382675302e-08,1.88667636977921,1769,211,1.36653906341429,2.10049285546161,0.638334847497414,1.32012715137283,0.464125995587445,1.10365458055911,1.2446671697076,0.755111468896075,0.0145764794867559,3.51873822685712e-13,0.0165172307123249,0.0764730592743683,4.01374335134861e-06,0.518356462726685,0.761559522915236,0.176737551486218
HCC_LM-H_vs_p-L_DOWN_FC_0,3.17909027182257e-09,1.8101989365105,718,1262,1.43621857648937,2.1661679742041,0.601327034900561,1.2322661123146,0.477157170857976,1.04241454315408,1.21302453974666,0.804344405821384,0.000819560094406352,3.57610561503529e-14,0.00534403916590688,0.17084194395864,6.31540067403477e-06,0.778564413964598,0.78844774957437,0.294555090495952
